"run","Consumer Total Panics","Consumer Liquidity Panics","Consumer Panic Panics","Consumer Estimated Liquidity Withdrawals","Consumer Estimated Panic Withdrawals","Consumer Estimated Bank Assets - Liquidity","Consumer Estimated Bank Assets - Panics","Consumer People Seen Panic","Consumers Shocked","Consumer Cash","Consumer Pure Panic","Bank Total Assets","Bank Total Liabilities","Bank Short Term Assets","Bank Long Term Assets","tick","DD Initial Withdrawals","Consumer Partial Shock","Consumer Count","Consumer Total Assets","Bank Failures","Consumer Average Panic Withdrawals","Consumer Seen Panic Proportion"
31,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,4,0.0,0.0,1.0E-4,1.0E-7
33,0.94,0.94,0.65,1.0544515092929728E7,3427261.3990331567,851766.7765433886,3396495.232304758,4.459999999999999,0.8899999999999997,5186344.21989803,0.94,-1.0,513542.7700322648,0.0,-1.0,8.0,8170514.370163171,0.9499999999999997,100,5995285.390251331,0.0,2913172.189193184,0.04000000000000001
33,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8999999999999999,868857.5344017234,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,868857.5344017234,0.0,1.0E-4,1.0E-7
33,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8749999999999999,147829.7980241605,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,16,147829.7980241605,0.0,1.0E-4,1.0E-7
33,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.75,19188.035719919644,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4,19188.035719919644,0.0,1.0E-4,1.0E-7
33,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
35,0.9800000000000001,0.9800000000000001,0.6899999999999998,1.1172875240972724E7,3307995.3610666823,276532.2477210333,2968013.888088364,4.860000000000001,0.9299999999999996,5369394.5791372685,0.9800000000000001,-1.0,604192.7553587538,0.0,-1.0,8.0,8493448.268535187,0.9800000000000001,100,5672351.491879313,0.0,2911035.9177506785,0.06000000000000001
35,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8799999999999999,1104737.6751147867,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,1104737.6751147867,0.0,1.0E-4,1.0E-7
35,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9374999999999999,139668.47554688898,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,16,139668.47554688898,0.0,1.0E-4,1.0E-7
35,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4,0.0,0.0,1.0E-4,1.0E-7
37,0.9200000000000002,0.9200000000000002,0.6799999999999997,1.0441402821614107E7,2863010.6672840435,997063.5803688747,3720313.7256723396,4.3,0.8999999999999997,4719402.83029852,0.9200000000000002,-1.0,493372.0708759026,0.0,-1.0,8.0,8259211.795315694,0.9200000000000002,100,5906587.965098804,0.0,2576709.60056564,0.04000000000000001
37,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8999999999999999,552223.8379577859,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,552223.8379577859,0.0,1.0E-4,1.0E-7
37,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8333333333333334,114963.21112056439,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,12,114963.21112056439,0.0,1.0E-4,1.0E-7
37,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,0.0,0.0,1.0E-4,1.0E-7
39,0.9299999999999998,0.9299999999999998,0.6900000000000001,1.0062665920715652E7,3396599.743900829,1050319.4570338759,4029420.6944910497,4.37,0.8500000000000001,5349807.255810411,0.9299999999999998,-1.0,434710.6962872097,0.0,-1.0,8.0,7774418.4712970685,0.9299999999999998,100,6391381.289117431,0.0,3022973.772082738,0.04999999999999999
39,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.89,1062845.3792533465,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,1062845.3792533465,0.0,1.0E-4,1.0E-7
39,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8888888888888887,223452.60369944683,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,18,223452.60369944683,0.0,1.0E-4,1.0E-7
39,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.6666666666666666,75463.87914097658,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,75463.87914097658,0.0,1.0E-4,1.0E-7
39,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
41,0.8799999999999999,0.8799999999999999,0.5699999999999996,9757163.65635977,2941758.199132791,1517399.864019586,4977258.117096246,4.129999999999999,0.8500000000000001,4614462.956203363,0.8799999999999999,-1.0,383267.6092434971,0.0,-1.0,8.0,7748460.570957719,0.8799999999999999,100,6417339.189456776,0.0,2647582.3792295107,0.010000000000000002
41,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9099999999999999,577302.5612008433,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,577302.5612008433,0.0,1.0E-4,1.0E-7
41,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.6666666666666666,235587.37304273844,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,12,235587.37304273844,0.0,1.0E-4,1.0E-7
41,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.75,77957.10087938313,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4,77957.10087938313,0.0,1.0E-4,1.0E-7
41,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
43,0.93,0.92,0.6699999999999998,1.0281501824877512E7,3082726.7455213023,1012584.922767974,4493447.139107801,4.3,0.8799999999999998,5088736.621086007,0.93,-1.0,444026.27695140254,0.0,-1.0,8.0,8027450.468914433,0.93,100,6138349.291500069,0.0,2836108.605887598,0.04999999999999999
43,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8999999999999997,913698.2154393636,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,913698.2154393636,0.0,1.0E-4,1.0E-7
43,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8571428571428571,169405.8051907506,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,14,169405.8051907506,0.0,1.0E-4,1.0E-7
43,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,3,0.0,0.0,1.0E-4,1.0E-7
45,0.95,0.95,0.7599999999999998,1.1128553675423294E7,2727144.557114762,543027.82891037,3386726.076327368,4.700000000000001,0.9400000000000001,4726421.268652037,0.95,-1.0,633570.1657148331,0.0,-1.0,8.0,8696902.992293324,0.95,100,5468896.768121177,0.0,2536244.438123727,0.04
45,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9,569475.0061927778,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,569475.0061927778,0.0,1.0E-4,1.0E-7
45,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8181818181818182,134303.56167706422,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,11,134303.56167706422,0.0,1.0E-4,1.0E-7
45,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.5,120355.13602483633,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2,120355.13602483633,0.0,1.0E-4,1.0E-7
45,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,38532.902183120736,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,1,38532.902183120736,0.0,1.0E-4,1.0E-7
45,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
47,0.9600000000000003,0.9600000000000003,0.6599999999999997,1.0999496672538795E7,2846839.893081984,459700.6221096255,3465631.468406407,4.510000000000003,0.9399999999999998,5049912.543791671,0.9600000000000003,-1.0,662982.8234920398,0.0,-1.0,8.0,8517768.358608294,0.9600000000000003,100,5648031.401806199,0.0,2533687.5048539666,0.06
47,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.9200000000000002,519441.1574781179,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,100,519441.1574781179,0.0,1.0E-4,1.0E-7
47,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,0.8999999999999999,48182.34972860393,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,10,48182.34972860393,0.0,1.0E-4,1.0E-7
47,0.0,0.0,0.0,1.0E-4,0.0,1.0E-4,1.0E-4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1,0.0,0.0,1.0E-4,1.0E-7
