"run","Blank","Consumer Shock Probability","Consumer Distribution Deviation","Consumer Initial Endowment","Consumer Income","Bank Assets Visible","Consumer Shock Multiplier","All Consumers Visible","Bank Initial Endowment","Consumer Mean Rate of Consumption","Consumer Short Term Payout","Bank Long Term Asset Return","Bank Short Term Asset Return","randomSeed","Consumer Long Term Payout","Expected Average Withdrawal","Bank Count","Consumer Count","Bank Cost 2","Consumer Group Size"
115,0.114,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667102322,1.73913,42500.0,1,100,5000.0,10
117,0.116,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667101329,1.73913,42500.0,1,100,5000.0,10
119,0.118,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667100632,1.73913,42500.0,1,100,5000.0,10
121,0.12,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667099948,1.73913,42500.0,1,100,5000.0,10
123,0.122,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667099269,1.73913,42500.0,1,100,5000.0,10
125,0.124,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667098702,1.73913,42500.0,1,100,5000.0,10
127,0.126,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667097951,1.73913,42500.0,1,100,5000.0,10
129,0.128,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667097146,1.73913,42500.0,1,100,5000.0,10
131,0.13,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667096374,1.73913,42500.0,1,100,5000.0,10
133,0.132,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667095591,1.73913,42500.0,1,100,5000.0,10
135,0.134,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667094714,1.73913,42500.0,1,100,5000.0,10
137,0.136,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667094119,1.73913,42500.0,1,100,5000.0,10
139,0.138,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667093396,1.73913,42500.0,1,100,5000.0,10
141,0.14,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667092482,1.73913,42500.0,1,100,5000.0,10
143,0.142,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667091739,1.73913,42500.0,1,100,5000.0,10
145,0.144,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667091078,1.73913,42500.0,1,100,5000.0,10
147,0.146,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667090466,1.73913,42500.0,1,100,5000.0,10
149,0.148,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667089526,1.73913,42500.0,1,100,5000.0,10
151,0.15,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667088728,1.73913,42500.0,1,100,5000.0,10
153,0.152,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667088098,1.73913,42500.0,1,100,5000.0,10
155,0.154,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667087549,1.73913,42500.0,1,100,5000.0,10
157,0.156,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667086890,1.73913,42500.0,1,100,5000.0,10
159,0.158,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667086144,1.73913,42500.0,1,100,5000.0,10
161,0.16,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667085367,1.73913,42500.0,1,100,5000.0,10
163,0.162,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667084555,1.73913,42500.0,1,100,5000.0,10
165,0.164,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667083781,1.73913,42500.0,1,100,5000.0,10
167,0.166,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667082945,1.73913,42500.0,1,100,5000.0,10
169,0.168,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667081912,1.73913,42500.0,1,100,5000.0,10
171,0.17,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667081114,1.73913,42500.0,1,100,5000.0,10
173,0.172,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667080426,1.73913,42500.0,1,100,5000.0,10
175,0.174,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667079787,1.73913,42500.0,1,100,5000.0,10
177,0.176,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667079060,1.73913,42500.0,1,100,5000.0,10
179,0.178,0.5,0.1,100000.0,50000.0,"false",2.0,"false",0.0,0.85,1.308761,1.826087,1.0,-667078265,1.73913,42500.0,1,100,5000.0,10
