"run","PlaceInLine","PanicFlag","PanicPanic","LiquidityPanic","PartialShock","PurePanic","NeighborPanicCount","OthersConsumption","tick"
3,82,"true","true","true","true","true",8,1.3136568478585448E7,8.0
3,29,"true","true","true","true","true",2,9330984.421680698,8.0
3,78,"true","true","true","true","true",7,1.267240380398933E7,8.0
3,96,"true","false","true","true","true",5,1.279176232288339E7,8.0
3,61,"true","true","true","true","true",3,1.0731964928729456E7,8.0
3,43,"true","true","true","true","true",5,1.158452840069435E7,8.0
3,4,"true","false","true","true","true",0,9670775.765470827,8.0
3,53,"true","true","true","true","true",5,9721009.955024227,8.0
3,5,"false","false","false","false","false",0,9258669.389185213,8.0
3,93,"true","true","true","true","true",9,1.3784035545906574E7,8.0
3,87,"true","true","true","true","true",9,1.2767724959204886E7,8.0
3,63,"true","true","true","true","true",7,1.289641623826191E7,8.0
3,37,"true","true","true","true","true",3,8646245.803167522,8.0
3,19,"true","true","true","true","true",5,1.1691749607113015E7,8.0
3,31,"true","true","true","true","true",2,9506968.651409704,8.0
3,20,"true","true","true","true","true",4,1.1402196671786854E7,8.0
3,9,"true","true","true","true","true",1,1.0029251650047285E7,8.0
3,6,"true","true","true","true","true",2,1.0100261344500931E7,8.0
3,33,"true","true","true","true","true",4,1.1236959620086713E7,8.0
3,1,"true","false","true","true","true",0,9188309.158141755,8.0
3,35,"true","true","true","true","true",5,1.1736298389749307E7,8.0
3,49,"true","true","true","true","true",7,1.3110103366109502E7,8.0
3,77,"true","true","true","true","true",6,1.2549709049545676E7,8.0
3,80,"true","true","true","true","true",6,1.147983626222046E7,8.0
3,24,"true","true","true","true","true",3,1.0884831812006278E7,8.0
3,30,"true","false","true","true","true",1,6724994.626405647,8.0
3,25,"true","true","true","true","true",4,1.1333767707011411E7,8.0
3,67,"true","true","true","true","true",5,1.0672865985982496E7,8.0
3,2,"true","false","true","true","true",0,9271857.807213357,8.0
3,27,"true","true","true","true","true",2,9371660.441090787,8.0
3,22,"true","true","true","true","true",2,9523197.256579686,8.0
3,34,"true","true","true","true","true",6,1.1321683187476592E7,8.0
3,94,"true","true","true","true","true",9,1.2749219785373049E7,8.0
3,84,"true","true","true","true","true",9,1.2749219785373049E7,8.0
3,17,"true","true","true","true","true",1,1.0034250430434361E7,8.0
3,66,"true","true","true","true","true",5,1.0850982348789617E7,8.0
3,40,"true","false","true","true","true",1,1.0641741590635935E7,8.0
3,74,"true","true","true","true","true",4,1.019539110966417E7,8.0
3,18,"true","false","true","true","true",0,6958261.545912337,8.0
3,58,"true","true","true","true","true",5,1.1888835422188576E7,8.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
3,0,"false","false","false","false","false",0,1.0E-4,18.0
