run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Seen Panic Proportion,Bank Total Assets After Initial Withdrawals,Bank Net Worth
7,0,0,0,2950233.387,1.33E-06,0,0.48,0,0,1.75E+07,1.96E+07,9748906.966,7764055.975,69,2913210.943,0.44,75,1.96E+07,0,1.33E-07,1.75E+07,-2083746.124
7,0,0,0,3296894.761,0,0,0.513888889,0,0,2.05E+07,2.30E+07,1.08E+07,9748906.966,81,3062995.811,0.444444444,72,2.30E+07,0,0,2.05E+07,-2453178.506
7,0,0,0,2624622.922,1.49E-06,0,0.462686567,0,0,2.58E+07,2.80E+07,1.51E+07,1.08E+07,93,2598044.954,0.373134328,67,2.80E+07,0,1.49E-07,2.58E+07,-2193484.1
7,0,0,0,2838201.06,1.64E-06,0,0.508196721,0,0,3.17E+07,3.45E+07,1.67E+07,1.51E+07,105,2570638.815,0.475409836,61,3.45E+07,0,1.64E-07,3.17E+07,-2774814.782
7,0,0,0,2777595.636,1.69E-06,0,0.508474576,0,0,4.12E+07,4.30E+07,2.46E+07,1.67E+07,117,2484314.866,0.491525424,59,4.30E+07,0,1.69E-07,4.12E+07,-1780947.642
7,0,0,0,2023967.697,0,0,0.431034483,0,0,5.26E+07,5.49E+07,2.81E+07,2.46E+07,129,2057891.419,0.362068966,58,5.49E+07,0,0,5.26E+07,-2298583.779
7,0,0,0,2034994.461,0,0,0.444444444,0,0,7.06E+07,7.05E+07,4.25E+07,2.81E+07,141,1843483.847,0.444444444,54,7.05E+07,0,0,7.06E+07,74610.04602
9,0,0,0,4005985.352,0,0,0.42,0,0,1.24E+07,1.42E+07,6636507.203,5750001.438,9,3363492.797,0.42,100,1.42E+07,0,0,1.24E+07,-1775376.194
9,0,0,0,4718176.925,0,0,0.52,0,0,1.22E+07,1.42E+07,5520222.64,6636507.203,21,4531973.522,0.46,100,1.42E+07,0,0,1.22E+07,-2048795.185
9,0,0,0,4121919.807,0,0,0.563829787,0,0,1.33E+07,1.49E+07,7738248.129,5520222.64,33,4456744.798,0.457446809,94,1.49E+07,0,0,1.33E+07,-1626300.25
9,0,0,0,3690310.293,0,0,0.523809524,0,0,1.39E+07,1.62E+07,6172539.205,7738248.129,45,3728837.977,0.428571429,84,1.62E+07,0,0,1.39E+07,-2290543.214
9,0,0,0,3773249.181,0,0,0.565789474,0,0,1.63E+07,1.79E+07,1.01E+07,6172539.205,57,3660357.698,0.5,76,1.79E+07,0,0,1.63E+07,-1600602.654
9,0,0,0,3235557.181,0,0,0.563380282,0,0,1.77E+07,2.04E+07,7596631.756,1.01E+07,69,3335526.693,0.492957746,71,2.04E+07,0,0,1.77E+07,-2676054.133
9,0,0,0,2926998.013,0,0,0.53030303,0,0,2.27E+07,2.41E+07,1.51E+07,7596631.756,81,3047317.102,0.46969697,66,2.41E+07,0,0,2.27E+07,-1370069.744
9,0,0,0,1969610.373,0,0,0.370967742,0,0,2.68E+07,3.00E+07,1.17E+07,1.51E+07,93,1678204.951,0.35483871,62,3.00E+07,0,0,2.68E+07,-3222886.082
9,0,0,0,2723407.175,0,0,0.540983607,0,0,3.62E+07,3.71E+07,2.45E+07,1.17E+07,105,2734997.498,0.491803279,61,3.71E+07,0,0,3.62E+07,-885448.2926
9,0,0,0,2927344.344,0,0,0.568965517,0,0,4.26E+07,4.61E+07,1.81E+07,2.45E+07,117,2762471.927,0.568965517,58,4.61E+07,0,0,4.26E+07,-3462277.563
9,0,0,0,2774837.242,0,0,0.517241379,0,0,6.00E+07,5.85E+07,4.19E+07,1.81E+07,129,2481243.123,0.5,58,5.85E+07,0,0,6.00E+07,1479840.65
9,0,0,0,2617179.894,0,0,0.526315789,0,0,7.19E+07,7.45E+07,3.01E+07,4.19E+07,141,2539727.141,0.50877193,57,7.45E+07,0,0,7.19E+07,-2570643.023
11,0,0,0,3902119.046,0,0,0.44,0,0,1.21E+07,1.39E+07,6335831.742,5750001.438,9,3664168.258,0.44,100,1.39E+07,0,0,1.21E+07,-1775376.194
11,0,0,0,4537473.635,0,0,0.51,0,0,1.21E+07,1.41E+07,5804494.215,6335831.742,21,4267071.136,0.47,100,1.41E+07,0,0,1.21E+07,-1954686.982
11,0,0,0,4007153.586,0,0,0.489583333,0,0,1.34E+07,1.51E+07,7585267.126,5804494.215,33,3893993.123,0.40625,96,1.51E+07,0,0,1.34E+07,-1740177.241
11,0,0,0,2903405.836,0,0,0.397727273,0,0,1.52E+07,1.74E+07,7591387.755,7585267.126,45,2838426.877,0.284090909,88,1.74E+07,0,0,1.52E+07,-2243245.491
11,0,0,0,3561582.761,0,0,0.525641026,0,0,1.76E+07,1.97E+07,1.00E+07,7591387.755,57,3474028.725,0.487179487,78,1.97E+07,0,0,1.76E+07,-2070894.537
11,0,0,0,3186174.032,0,0,0.466666667,0,0,2.07E+07,2.32E+07,1.06E+07,1.00E+07,69,2879190.373,0.413333333,75,2.32E+07,0,0,2.07E+07,-2551709.123
11,0,0,0,2759378.494,1.41E-06,0,0.478873239,0,0,2.59E+07,2.81E+07,1.53E+07,1.06E+07,81,2741838.566,0.408450704,71,2.81E+07,0,1.41E-07,2.59E+07,-2211541.638
11,0,0,0,3470986.548,1.52E-06,0,0.560606061,0,0,3.12E+07,3.40E+07,1.59E+07,1.53E+07,93,3151920.258,0.53030303,66,3.40E+07,0,1.52E-07,3.12E+07,-2838853.785
11,0,0,0,2636270.521,0,0,0.46875,0,0,4.09E+07,4.25E+07,2.49E+07,1.59E+07,105,2459193.847,0.46875,64,4.25E+07,0,0,4.09E+07,-1645127.955
11,0,0,0,2193223.57,0,0,0.359375,0,0,5.18E+07,5.43E+07,2.69E+07,2.49E+07,117,1721310.747,0.359375,64,5.43E+07,0,0,5.18E+07,-2458735.909
11,0,0,0,2497157.366,0,0,0.453125,0,0,6.95E+07,6.93E+07,4.27E+07,2.69E+07,129,2352044.301,0.453125,64,6.93E+07,0,0,6.95E+07,233403.1187
11,0,0,0,2895090.806,0,0,0.484375,0,0,8.86E+07,8.87E+07,4.59E+07,4.27E+07,141,2607652.126,0.484375,64,8.87E+07,0,0,8.86E+07,-41338.00835
13,0,0,0,5045731.599,0,0,0.55,0,0,1.10E+07,1.28E+07,5291586.502,5750001.438,9,4708413.498,0.55,100,1.28E+07,0,0,1.10E+07,-1775376.194
13,0,0,0,5098141.546,0,0,0.56,0,0,1.05E+07,1.22E+07,5242347.019,5291586.502,21,4786398.26,0.53,100,1.22E+07,0,0,1.05E+07,-1632546.463
13,0,0,0,3467027.927,0,0,0.515463918,0,0,1.12E+07,1.29E+07,5997596.62,5242347.019,33,4347257.639,0.340206186,97,1.29E+07,0,0,1.12E+07,-1657748.237
13,0,0,0,3315851.249,0,0,0.4625,0,0,1.24E+07,1.43E+07,6406434.876,5997596.62,45,3034981.57,0.35,80,1.43E+07,0,0,1.24E+07,-1925790.11
13,0,0,0,2518682.495,0,0,0.436619718,0,0,1.45E+07,1.66E+07,8131147.38,6406434.876,57,2470597.1,0.366197183,71,1.66E+07,0,0,1.45E+07,-2064600.061
13,0,0,0,2949380.523,0,0,0.545454545,0,0,1.64E+07,1.89E+07,8266138.142,8131147.38,69,3074132.405,0.5,66,1.89E+07,0,0,1.64E+07,-2538964.736
