run,Consumer Total Panics,Consumer Liquidity Panics,Consumer Panic Panics,Consumer Estimated Liquidity Withdrawals,Consumer Estimated Panic Withdrawals,Consumer People Seen Panic,Consumers Shocked,Consumer Cash,Consumer Pure Panic,Bank Total Assets,Bank Total Liabilities,Bank Short Term Assets,Bank Long Term Assets,tick,DD Initial Withdrawals,Consumer Partial Shock,Consumer Count,Consumer Total Assets,Bank Failures,Consumer Average Panic Withdrawals,Consumer Seen Panic Proportion,Consumer Estimated Bank Assets,Bank Assets After Initial
15,0.313953488,0.313953488,0.139534884,4162596.88,2546814.474,1.11627907,0.523255814,1013196.034,0.209302326,1.03E+07,3773953.42,2807349.234,7538120.861,33,3863819.924,0.511627907,86,1.39E+07,0,1243793.115,0,1.26E+07,1.03E+07
15,0.337662338,0.337662338,0.155844156,4017276.94,4050812.645,1.896103896,0.558441558,856243.4873,0.220779221,1.29E+07,6560118.977,1.01E+07,2807349.234,45,3683948.177,0.519480519,77,1.46E+07,0,3051261.473,0,1.25E+07,1.29E+07
15,0.279411765,0.279411765,0.147058824,3008762.148,2978350.018,1.411764706,0.485294118,523923.042,0.176470588,1.26E+07,4959382.588,2477515.574,1.01E+07,57,2806437.235,0.5,68,1.66E+07,0,2233762.514,0,1.50E+07,1.26E+07
15,0.262295082,0.262295082,0.131147541,3057786.139,3570817.429,1.475409836,0.508196721,601109.3361,0.213114754,1.79E+07,9008624.92,1.54E+07,2477515.574,69,2634419.602,0.606557377,61,1.92E+07,0,2985437.523,0,1.63E+07,1.79E+07
15,0.189655172,0.189655172,0.086206897,1866498.495,2360065.536,0.586206897,0.413793103,254381.7318,0.086206897,1.83E+07,6761567.539,2874410.169,1.54E+07,81,1834939.765,0.396551724,58,2.36E+07,0,1139341.983,0,2.15E+07,1.83E+07
15,0.153846154,0.153846154,0.076923077,2739145.689,3922662.111,0.634615385,0.576923077,212697.4156,0.096153846,2.81E+07,1.37E+07,2.52E+07,2874410.169,93,2603747.101,0.557692308,52,2.85E+07,0,1810459.436,0,2.43E+07,2.81E+07
15,0.102040816,0.102040816,0.020408163,2000765.504,4847286.87,0.714285714,0.448979592,189077.4768,0.081632653,2.83E+07,1.03E+07,3065006.482,2.52E+07,105,1732665.294,0.510204082,49,3.59E+07,0,2572029.768,0,3.27E+07,2.83E+07
15,0.104166667,0.104166667,0.041666667,1858394.598,8342173.183,0.541666667,0.458333333,0,0,4.72E+07,2.18E+07,4.41E+07,3065006.482,117,1766767.908,0.354166667,48,4.56E+07,0,2954519.669,0,3.89E+07,4.72E+07
15,0,0,0,2445885.329,0,0,0.604651163,0,0,4.70E+07,1.70E+07,2847142.549,4.41E+07,129,2249825.943,0.604651163,43,5.81E+07,0,1.00E-04,0,5.28E+07,4.70E+07
15,0.023255814,0.023255814,0,2018563.807,7968072.051,0.162790698,0.511627907,69030.50303,0.023255814,8.11E+07,3.53E+07,7.82E+07,2847142.549,141,1808882.937,0.511627907,43,7.46E+07,0,1297128.008,0,6.37E+07,8.11E+07
17,0.33,0.33,0.02,5097537.138,2661529.304,1.29,0.47,2688117.156,0.33,9130105.692,3842828.585,3380104.255,5750001.438,9,3931778.589,0.47,100,1.36E+07,0,1729994.048,0,1.18E+07,9130105.692
