,Values,,,,,
Row Labels,Average of PanicFlag,Average of PanicPanic,Average of LiquidityPanic,Average of PurePanic,Average of NeighborPanicCount,Average of PanicProportion
26,0.189121756,0.059131737,0.189121756,0.133982036,0.675648703,1.99601E-10
27,0.186377246,0.067365269,0.186127745,0.126996008,0.690369261,0.000499002
28,0.199850299,0.07260479,0.199850299,0.129241517,0.729540918,1.99601E-10
29,0.194361277,0.069111776,0.194111776,0.130489022,0.746257485,0.000249502
30,0.187921138,0.075118543,0.187671575,0.123783379,0.738956826,0.000249563
31,0.191308691,0.074925075,0.191308691,0.127122877,0.805194805,3.74625E-10
32,0.201099176,0.077941544,0.200849363,0.12965276,0.832875343,0.000499626
33,0.195548887,0.07851963,0.195548887,0.128032008,0.861965491,0.000250063
34,0.198146293,0.08241483,0.198146293,0.133016032,0.878006012,0.000501002
35,0.195777834,0.076149786,0.195526514,0.132445338,0.915054034,0.00025132
36,0.190512238,0.08453192,0.190512238,0.124148372,0.952813525,0.000252334
37,0.20177665,0.084263959,0.201269036,0.137563452,0.984771574,0.000507615
38,0.190988223,0.080645161,0.190988223,0.129544291,1.01484895,4.86431E-10
39,0.204239917,0.091261634,0.203981386,0.135729059,1.024301965,0.000258532
40,0.19353156,0.084246218,0.192749087,0.126760563,1.084767866,0.001043297
41,0.204460967,0.087626129,0.204195433,0.137546468,1.089484865,0.000531068
42,0.205731279,0.097053258,0.205460935,0.137604758,1.117869695,0.000270343
43,0.20221914,0.101803051,0.200554785,0.131206657,1.176699029,0.001386963
44,0.208828523,0.095642332,0.208545557,0.146859083,1.214487832,0.000848897
45,0.21752965,0.097194099,0.21752965,0.146948221,1.248192074,3.47122E-10
46,0.221430692,0.106856634,0.220243396,0.144850104,1.310774711,0.001187296
47,0.233241506,0.11325375,0.233241506,0.158861341,1.344046526,3.367E-10
48,0.229823455,0.113177806,0.228562421,0.152269861,1.368537201,0.000945776
49,0.238436482,0.117263844,0.238436482,0.161563518,1.440390879,0.000325733
50,0.231082457,0.111299627,0.2304038,0.161859518,1.481845945,0.000339328
51,0.253196023,0.120028409,0.251775568,0.182173295,1.558238636,0.001420455
52,0.271884273,0.137982196,0.271142433,0.195103858,1.603486647,0.00074184
53,0.266125917,0.129393588,0.265739668,0.186558517,1.659714175,3.47625E-10
54,0.277956557,0.134754626,0.276749799,0.205551086,1.688254224,0.000804505
55,0.266386555,0.136554622,0.26512605,0.182773109,1.76302521,2.10084E-10
56,0.283274956,0.151488616,0.282399299,0.197898424,1.857705779,0.000437829
57,0.296413981,0.153427145,0.294598275,0.206536541,1.877893781,0.000453927
58,0.287264151,0.150471698,0.284433962,0.201415094,1.962264151,0.000943397
59,0.311547912,0.157739558,0.311056511,0.228009828,1.99017199,0.001474202
60,0.310714286,0.165816327,0.309183673,0.216836735,2.025510204,0.000510204
61,0.325198939,0.169230769,0.323076923,0.227055703,2.14535809,5.30504E-11
62,0.328571429,0.165934066,0.326373626,0.243956044,2.156593407,0.000549451
63,0.331830986,0.170140845,0.331267606,0.238309859,2.189859155,0.00056338
64,0.323837209,0.168604651,0.322093023,0.243023256,2.151744186,0.000581396
65,0.346546547,0.193393393,0.341141141,0.242042042,2.306906907,6.00601E-11
66,0.344079355,0.17482951,0.339119653,0.251084935,2.288282703,0
67,0.334821429,0.183673469,0.330357143,0.233418367,2.40880102,6.37755E-11
68,0.360472751,0.198949442,0.359159554,0.249507551,2.392646093,0.000656599
69,0.346911066,0.196877122,0.342158859,0.245078072,2.43856076,2.71555E-10
